epoch,acc,loss,val_acc,val_loss
0,0.36340990867965806,1.3229182053562547,0.42651296915856834,1.277142690993867
1,0.6446166618557277,0.9919973573722966,0.6484149854190068,0.9433988461576897
2,0.7990589539924884,0.5751062829904269,0.6916426506097447,0.7752375077101957
3,0.8499861612994355,0.41063941481896726,0.7146974056529724,0.7800424437357988
4,0.8831995570392381,0.32525146980876907,0.6916426494073455,0.8233085747067455
5,0.9086631608741818,0.2669082030658078,0.6945244967078613,0.9007528328071066
6,0.9233324109534626,0.2195119110874083,0.7089337156897663,0.8983914704419007
7,0.9377248825506922,0.18719727837772143,0.6858789623642517,0.9440542504148456
8,0.9482424578243037,0.16115831837590106,0.6887608050269421,1.0345765187348688
9,0.9593135898145585,0.1379527204937835,0.694524493787749,1.0560526682938898
10,0.9606974811689892,0.1268998384578816,0.6916426494073455,1.1213004951518275
11,0.9695543869360642,0.10664115085529713,0.680115274805844,1.2033213272218402
12,0.9651259343082345,0.1091535810743083,0.6801152718857317,1.2327433714605547
13,0.96983116526964,0.09747697530098315,0.6772334275053282,1.2790578662146752
14,0.9701079433887513,0.09315251981967906,0.6916426523274578,1.2928731195864829
15,0.9714918352216029,0.08726978272100647,0.6829971162661351,1.3177046421968972
16,0.9748131744986323,0.08587328846306805,0.6743515831249248,1.3951336829050818
17,0.9728757267245091,0.08003664860971542,0.6829971191862475,1.3426293887047671
18,0.9731525048436203,0.07758179434863585,0.6772334275053282,1.4168716555713576
19,0.9739828397453639,0.07271680472083049,0.6772334292230414,1.4312610540335047
20,0.9761970660015384,0.07376355064041457,0.6916426494073455,1.437601103219244
21,0.9756435095488514,0.07082505160445178,0.6743515860450371,1.5143260045422602
22,0.9764738446320651,0.06625283956362737,0.6714697404622344,1.5067449529851205
23,0.9778577361349713,0.06294438953532296,0.6657060499837144,1.5198629084512891
24,0.9764738446320651,0.06655439282846094,0.6772334304254406,1.5732454202360653
